scope,observed_tier,patch,role,item_id,item_name,games,wins,losses,win_rate,holder_count,pick_rate,pick_rate_denominator,avg_final_slot,min_games_applied
overall,MIXED,16.15,UTILITY,3364,オラクル レンズ,736,376,360,0.5108695652173914,736,0.8910411622276029,826,6.0,15
overall,MIXED,16.15,TOP,3340,ステルス ワード,700,345,355,0.4928571428571429,700,0.847457627118644,826,6.0,15
overall,MIXED,16.15,ALL,3047,プレート スチールキャップ,690,352,338,0.5101449275362319,690,0.16707021791767554,4130,2.2666666666666666,15
overall,MIXED,16.15,ALL,2031,詰め替えポーション,676,306,370,0.4526627218934911,676,0.16368038740920096,4130,1.3372781065088757,15
overall,MIXED,15.24,ALL,3364,オラクル レンズ,651,328,323,0.5038402457757296,651,0.38070175438596493,1710,6.0,15
overall,MIXED,16.16,ALL,3047,プレート スチールキャップ,648,324,324,0.5,648,0.1945945945945946,3330,2.3549382716049383,15
overall,MIXED,16.14,UTILITY,3364,オラクル レンズ,616,313,303,0.5081168831168831,616,0.8850574712643678,696,6.0,15
overall,MIXED,16.16,UTILITY,3364,オラクル レンズ,614,310,304,0.504885993485342,614,0.9219219219219219,666,6.0,15
overall,MIXED,16.17,ALL,3363,ファーサイト オルタレーション,614,295,319,0.4804560260586319,614,0.12182539682539682,5040,6.0,15
overall,MIXED,16.14,ALL,3047,プレート スチールキャップ,608,302,306,0.4967105263157895,608,0.17471264367816092,3480,2.2845394736842106,15
overall,MIXED,16.14,TOP,3340,ステルス ワード,603,301,302,0.49917081260364843,603,0.8663793103448276,696,6.0,15
overall,MIXED,16.11,ALL,3340,ステルス ワード,601,289,312,0.480865224625624,601,0.5093220338983051,1180,6.0,15
overall,MIXED,16.15,MIDDLE,3340,ステルス ワード,597,305,292,0.5108877721943048,597,0.7227602905569007,826,6.0,15
overall,MIXED,16.18,ALL,3364,オラクル レンズ,591,307,284,0.5194585448392555,591,0.3517857142857143,1680,6.0,15
overall,MIXED,16.13,TOP,3340,ステルス ワード,590,295,295,0.5,590,0.8966565349544073,658,6.0,15
overall,MIXED,16.17,JUNGLE,3364,オラクル レンズ,588,288,300,0.4897959183673469,588,0.5833333333333334,1008,6.0,15
overall,MIXED,16.13,UTILITY,3364,オラクル レンズ,584,297,287,0.5085616438356164,584,0.8888888888888888,657,6.0,15
overall,MIXED,16.10,ALL,3340,ステルス ワード,582,296,286,0.5085910652920962,582,0.5243243243243243,1110,6.0,15
overall,MIXED,16.17,BOTTOM,3340,ステルス ワード,572,289,283,0.5052447552447552,572,0.5674603174603174,1008,6.0,15
overall,MIXED,16.14,ALL,2031,詰め替えポーション,564,253,311,0.44858156028368795,564,0.16206896551724137,3480,1.299645390070922,15
overall,MIXED,16.16,TOP,3340,ステルス ワード,559,281,278,0.5026833631484794,559,0.8393393393393394,666,6.0,15
overall,MIXED,16.17,ALL,1086,ドラン ボウ,556,267,289,0.4802158273381295,556,0.11031746031746031,5040,0.7050359712230215,15
overall,MIXED,16.14,MIDDLE,3340,ステルス ワード,534,268,266,0.50187265917603,534,0.7672413793103449,696,6.0,15
overall,MIXED,16.17,ALL,3031,インフィニティ エッジ,528,300,228,0.5681818181818182,528,0.10476190476190476,5040,2.2481060606060606,15
overall,MIXED,16.17,ALL,3175,連呪使いのブーツ,528,270,258,0.5113636363636364,528,0.10476190476190476,5040,2.804924242424242,15
overall,MIXED,16.17,MIDDLE,3175,連呪使いのブーツ,528,270,258,0.5113636363636364,528,0.5238095238095238,1008,2.804924242424242,15
overall,MIXED,16.13,ALL,3047,プレート スチールキャップ,512,254,258,0.49609375,512,0.15562310030395138,3290,2.2109375,15
overall,MIXED,16.17,ALL,1056,ドラン リング,504,239,265,0.4742063492063492,504,0.1,5040,0.8253968253968254,15
overall,MIXED,16.15,ALL,1056,ドラン リング,501,252,249,0.5029940119760479,501,0.12130750605326876,4130,0.8143712574850299,15
overall,MIXED,16.15,BOTTOM,3340,ステルス ワード,489,232,257,0.47443762781186094,489,0.5920096852300242,826,6.0,15
overall,MIXED,16.13,ALL,2031,詰め替えポーション,482,221,261,0.45850622406639,482,0.14650455927051673,3290,1.3858921161825726,15
overall,MIXED,15.19,ALL,3340,ステルス ワード,477,243,234,0.5094339622641509,477,0.4147826086956522,1150,6.0,15
overall,MIXED,16.15,ALL,3363,ファーサイト オルタレーション,476,247,229,0.5189075630252101,476,0.1152542372881356,4130,6.0,15
overall,MIXED,15.19,ALL,3364,オラクル レンズ,473,236,237,0.4989429175475687,473,0.41130434782608694,1150,6.0,15
overall,MIXED,16.13,MIDDLE,3340,ステルス ワード,470,229,241,0.48723404255319147,470,0.7142857142857143,658,6.0,15
overall,MIXED,16.14,ALL,1056,ドラン リング,468,224,244,0.47863247863247865,468,0.13448275862068965,3480,0.9038461538461539,15
overall,MIXED,16.15,JUNGLE,3364,オラクル レンズ,467,242,225,0.5182012847965739,467,0.5653753026634383,826,6.0,15
overall,MIXED,16.16,MIDDLE,3340,ステルス ワード,466,224,242,0.48068669527896996,466,0.6996996996996997,666,6.0,15
overall,MIXED,16.16,ALL,2031,詰め替えポーション,463,193,270,0.4168466522678186,463,0.13903903903903903,3330,1.3758099352051836,15
overall,MIXED,16.12,ALL,3340,ステルス ワード,461,224,237,0.48590021691973967,461,0.5179775280898876,890,6.0,15
overall,MIXED,16.13,ALL,3363,ファーサイト オルタレーション,453,234,219,0.5165562913907285,453,0.1376899696048632,3290,6.0,15
overall,MIXED,16.17,TOP,3047,プレート スチールキャップ,449,231,218,0.5144766146993318,449,0.44543650793650796,1008,2.507795100222717,15
overall,MIXED,16.16,ALL,3363,ファーサイト オルタレーション,443,222,221,0.5011286681715575,443,0.13303303303303304,3330,6.0,15
overall,MIXED,16.17,ALL,3111,マーキュリー ブーツ,442,230,212,0.5203619909502263,442,0.08769841269841269,5040,2.2104072398190047,15
overall,MIXED,15.13,ALL,3340,ステルス ワード,442,218,224,0.49321266968325794,442,0.46041666666666664,960,6.0,15
overall,MIXED,16.17,ALL,2055,コントロール ワード,440,204,236,0.4636363636363636,440,0.0873015873015873,5040,2.1340909090909093,15
overall,MIXED,16.17,ALL,4645,シャドウフレイム,432,221,211,0.5115740740740741,432,0.08571428571428572,5040,2.4814814814814814,15
overall,MIXED,16.14,ALL,3363,ファーサイト オルタレーション,429,215,214,0.5011655011655012,429,0.12327586206896551,3480,6.0,15
overall,MIXED,16.15,ALL,4645,シャドウフレイム,427,227,200,0.531615925058548,427,0.10338983050847457,4130,2.648711943793911,15
overall,MIXED,16.17,BOTTOM,1086,ドラン ボウ,427,206,221,0.48243559718969553,427,0.4236111111111111,1008,0.6651053864168618,15
overall,MIXED,16.17,ALL,3158,アイオニア ブーツ,419,218,201,0.5202863961813843,419,0.08313492063492063,5040,2.386634844868735,15
overall,MIXED,16.17,BOTTOM,3363,ファーサイト オルタレーション,416,207,209,0.49759615384615385,416,0.4126984126984127,1008,6.0,15
overall,MIXED,16.11,ALL,3364,オラクル レンズ,412,208,204,0.5048543689320388,412,0.34915254237288135,1180,6.0,15
overall,MIXED,16.9,ALL,3340,ステルス ワード,406,199,207,0.49014778325123154,406,0.5139240506329114,790,6.0,15
overall,MIXED,16.15,ALL,3111,マーキュリー ブーツ,405,197,208,0.48641975308641977,405,0.09806295399515738,4130,2.2839506172839505,15
overall,MIXED,16.7,ALL,3340,ステルス ワード,402,192,210,0.47761194029850745,402,0.522077922077922,770,6.0,15
overall,MIXED,16.3,ALL,3340,ステルス ワード,401,196,205,0.48877805486284287,401,0.4556818181818182,880,6.0,15
overall,MIXED,16.6,ALL,3340,ステルス ワード,399,199,200,0.49874686716791977,399,0.525,760,6.0,15
overall,MIXED,16.14,BOTTOM,3340,ステルス ワード,398,193,205,0.4849246231155779,398,0.5718390804597702,696,6.0,15
overall,MIXED,15.17,ALL,3340,ステルス ワード,393,198,195,0.5038167938931297,393,0.48518518518518516,810,6.0,15
overall,MIXED,16.16,JUNGLE,3364,オラクル レンズ,393,196,197,0.49872773536895676,393,0.5900900900900901,666,6.0,15
overall,MIXED,16.15,ALL,3175,連呪使いのブーツ,392,198,194,0.5051020408163265,392,0.09491525423728814,4130,2.7857142857142856,15
overall,MIXED,16.15,MIDDLE,3175,連呪使いのブーツ,392,198,194,0.5051020408163265,392,0.4745762711864407,826,2.7857142857142856,15
overall,MIXED,16.17,ALL,1055,ドラン ブレード,386,201,185,0.5207253886010362,386,0.07658730158730159,5040,0.7616580310880829,15
overall,MIXED,16.13,ALL,1056,ドラン リング,382,187,195,0.4895287958115183,382,0.11610942249240122,3290,0.6780104712041884,15
overall,MIXED,16.10,ALL,3364,オラクル レンズ,381,187,194,0.49081364829396323,381,0.34324324324324323,1110,6.0,15
overall,MIXED,15.24,ALL,2055,コントロール ワード,379,182,197,0.48021108179419525,379,0.2216374269005848,1710,2.2796833773087073,15
overall,MIXED,16.17,ALL,1036,ロング ソード,378,188,190,0.4973544973544973,378,0.075,5040,3.828042328042328,15
overall,MIXED,16.14,JUNGLE,3364,オラクル レンズ,377,197,180,0.5225464190981433,377,0.5416666666666666,696,6.0,15
overall,MIXED,16.1,ALL,3340,ステルス ワード,376,205,171,0.5452127659574468,376,0.4883116883116883,770,6.0,15
overall,MIXED,16.13,JUNGLE,3364,オラクル レンズ,374,195,179,0.5213903743315508,374,0.5683890577507599,658,6.0,15
overall,MIXED,16.17,ALL,3157,ゾーニャの砂時計,371,203,168,0.5471698113207547,371,0.07361111111111111,5040,1.3638814016172507,15
overall,MIXED,16.17,JUNGLE,3340,ステルス ワード,371,187,184,0.5040431266846361,371,0.3680555555555556,1008,6.0,15
overall,MIXED,16.5,ALL,3340,ステルス ワード,370,184,186,0.4972972972972973,370,0.4567901234567901,810,6.0,15
overall,MIXED,16.17,BOTTOM,3031,インフィニティ エッジ,369,217,152,0.5880758807588076,369,0.36607142857142855,1008,2.2493224932249323,15
overall,MIXED,15.13,ALL,3364,オラクル レンズ,368,189,179,0.5135869565217391,368,0.38333333333333336,960,6.0,15
overall,MIXED,16.17,ALL,6655,ルーデン エコー,368,175,193,0.47554347826086957,368,0.07301587301587302,5040,2.057065217391304,15
overall,MIXED,16.13,ALL,4645,シャドウフレイム,366,188,178,0.5136612021857924,366,0.11124620060790273,3290,2.568306010928962,15
overall,MIXED,16.14,ALL,4645,シャドウフレイム,363,204,159,0.5619834710743802,363,0.10431034482758621,3480,2.5895316804407713,15
overall,MIXED,16.17,ALL,6676,コレクター,363,185,178,0.509641873278237,363,0.07202380952380952,5040,1.837465564738292,15
overall,MIXED,16.16,ALL,3031,インフィニティ エッジ,362,202,160,0.5580110497237569,362,0.1087087087087087,3330,2.3011049723756907,15
overall,MIXED,16.8,ALL,3340,ステルス ワード,362,180,182,0.4972375690607735,362,0.5171428571428571,700,6.0,15
overall,MIXED,16.15,ALL,1086,ドラン ボウ,355,163,192,0.4591549295774648,355,0.08595641646489104,4130,0.7492957746478873,15
overall,MIXED,16.15,ALL,2055,コントロール ワード,354,189,165,0.5338983050847458,354,0.08571428571428572,4130,2.211864406779661,15
overall,MIXED,16.15,ALL,3031,インフィニティ エッジ,353,188,165,0.5325779036827195,353,0.0854721549636804,4130,2.4475920679886687,15
overall,MIXED,16.14,ALL,3175,連呪使いのブーツ,352,182,170,0.5170454545454546,352,0.10114942528735632,3480,2.778409090909091,15
overall,MIXED,16.14,MIDDLE,3175,連呪使いのブーツ,352,182,170,0.5170454545454546,352,0.5057471264367817,696,2.778409090909091,15
overall,MIXED,16.16,BOTTOM,3340,ステルス ワード,351,172,179,0.49002849002849,351,0.527027027027027,666,6.0,15
overall,MIXED,16.13,BOTTOM,3340,ステルス ワード,350,168,182,0.48,350,0.5319148936170213,658,6.0,15
overall,MIXED,16.15,ALL,6655,ルーデン エコー,350,166,184,0.4742857142857143,350,0.0847457627118644,4130,2.0,15
overall,MIXED,16.17,ALL,3190,ソラリのロケット,349,180,169,0.5157593123209169,349,0.06924603174603175,5040,1.4040114613180517,15
overall,MIXED,16.17,UTILITY,3190,ソラリのロケット,349,180,169,0.5157593123209169,349,0.3462301587301587,1008,1.4040114613180517,15
overall,MIXED,16.17,ALL,6672,クラーケン スレイヤー,346,180,166,0.5202312138728323,346,0.06865079365079366,5040,1.7716763005780347,15
overall,MIXED,16.17,ALL,6653,ライアンドリーの仮面,342,185,157,0.5409356725146199,342,0.06785714285714285,5040,2.43859649122807,15
overall,MIXED,16.15,ALL,1055,ドラン ブレード,342,165,177,0.4824561403508772,342,0.08280871670702179,4130,0.7368421052631579,15
overall,MIXED,16.17,ALL,1037,ピッケル,342,160,182,0.4678362573099415,342,0.06785714285714285,5040,3.365497076023392,15
overall,MIXED,16.2,ALL,3340,ステルス ワード,339,169,170,0.49852507374631266,339,0.47746478873239434,710,6.0,15
overall,MIXED,16.16,ALL,1056,ドラン リング,339,159,180,0.4690265486725664,339,0.1018018018018018,3330,0.855457227138643,15
overall,MIXED,16.17,ALL,1052,増魔の書,336,155,181,0.46130952380952384,336,0.06666666666666667,5040,3.7410714285714284,15
overall,MIXED,16.16,ALL,1086,ドラン ボウ,333,164,169,0.4924924924924925,333,0.1,3330,0.7567567567567568,15
overall,MIXED,16.17,MIDDLE,1056,ドラン リング,332,159,173,0.4789156626506024,332,0.32936507936507936,1008,0.963855421686747,15
overall,MIXED,16.3,ALL,3364,オラクル レンズ,330,166,164,0.503030303030303,330,0.375,880,6.0,15
overall,MIXED,16.15,JUNGLE,3340,ステルス ワード,328,155,173,0.4725609756097561,328,0.39709443099273606,826,6.0,15
overall,MIXED,16.15,BOTTOM,3363,ファーサイト オルタレーション,325,176,149,0.5415384615384615,325,0.3934624697336562,826,6.0,15
overall,MIXED,16.17,JUNGLE,3047,プレート スチールキャップ,324,169,155,0.5216049382716049,324,0.32142857142857145,1008,2.037037037037037,15
overall,MIXED,16.13,ALL,3175,連呪使いのブーツ,324,162,162,0.5,324,0.09848024316109423,3290,2.7962962962962963,15
overall,MIXED,16.13,MIDDLE,3175,連呪使いのブーツ,324,162,162,0.5,324,0.49240121580547114,658,2.7962962962962963,15
overall,MIXED,16.15,ALL,3157,ゾーニャの砂時計,320,161,159,0.503125,320,0.0774818401937046,4130,1.26875,15
overall,MIXED,16.16,ALL,3175,連呪使いのブーツ,319,167,152,0.5235109717868338,319,0.0957957957957958,3330,2.8275862068965516,15
overall,MIXED,16.16,MIDDLE,3175,連呪使いのブーツ,319,167,152,0.5235109717868338,319,0.47897897897897895,666,2.8275862068965516,15
overall,MIXED,16.15,TOP,3047,プレート スチールキャップ,319,161,158,0.5047021943573667,319,0.38619854721549635,826,2.4733542319749215,15
overall,MIXED,15.24,UTILITY,3364,オラクル レンズ,317,160,157,0.5047318611987381,317,0.9269005847953217,342,6.0,15
overall,MIXED,16.15,ALL,6653,ライアンドリーの仮面,316,180,136,0.569620253164557,316,0.07651331719128329,4130,2.5,15
overall,MIXED,16.17,ALL,3009,スイフトネス ブーツ,315,153,162,0.4857142857142857,315,0.0625,5040,2.4380952380952383,15
overall,MIXED,16.14,ALL,6653,ライアンドリーの仮面,314,183,131,0.5828025477707006,314,0.09022988505747126,3480,2.3152866242038215,15
overall,MIXED,16.13,ALL,3031,インフィニティ エッジ,314,175,139,0.5573248407643312,314,0.09544072948328268,3290,2.3662420382165603,15
overall,MIXED,16.13,ALL,6653,ライアンドリーの仮面,314,167,147,0.5318471337579618,314,0.09544072948328268,3290,2.1528662420382165,15
overall,MIXED,16.14,ALL,3111,マーキュリー ブーツ,314,152,162,0.4840764331210191,314,0.09022988505747126,3480,2.3662420382165603,15
overall,MIXED,16.17,ALL,3020,ソーサラー シューズ,313,153,160,0.48881789137380194,313,0.062103174603174605,5040,2.4696485623003195,15
overall,MIXED,16.15,ALL,3020,ソーサラー シューズ,312,164,148,0.5256410256410257,312,0.07554479418886198,4130,2.3365384615384617,15
overall,MIXED,16.5,ALL,3364,オラクル レンズ,312,151,161,0.483974358974359,312,0.3851851851851852,810,6.0,15
overall,MIXED,16.14,ALL,6655,ルーデン エコー,311,156,155,0.5016077170418006,311,0.08936781609195402,3480,2.067524115755627,15
overall,MIXED,16.15,ALL,1036,ロング ソード,308,140,168,0.45454545454545453,308,0.07457627118644068,4130,3.811688311688312,15
overall,MIXED,16.14,ALL,3031,インフィニティ エッジ,307,184,123,0.5993485342019544,307,0.0882183908045977,3480,2.44299674267101,15
overall,MIXED,16.17,ALL,3071,ブラック クリーバー,307,175,132,0.5700325732899023,307,0.06091269841269841,5040,2.039087947882736,15
overall,MIXED,16.15,ALL,3009,スイフトネス ブーツ,307,167,140,0.5439739413680782,307,0.07433414043583535,4130,2.6026058631921822,15
overall,MIXED,16.18,UTILITY,3364,オラクル レンズ,307,154,153,0.501628664495114,307,0.9136904761904762,336,6.0,15
overall,MIXED,16.18,ALL,3047,プレート スチールキャップ,305,158,147,0.5180327868852459,305,0.18154761904761904,1680,2.3442622950819674,15
overall,MIXED,15.8,ALL,3340,ステルス ワード,305,151,154,0.49508196721311476,305,0.46923076923076923,650,6.0,15
overall,MIXED,16.16,ALL,2055,コントロール ワード,304,166,138,0.5460526315789473,304,0.0912912912912913,3330,2.2203947368421053,15
overall,MIXED,16.17,ALL,1058,ムダニ デカイ ロッド,303,164,139,0.5412541254125413,303,0.06011904761904762,5040,3.174917491749175,15
overall,MIXED,16.13,BOTTOM,3363,ファーサイト オルタレーション,303,159,144,0.5247524752475248,303,0.46048632218844987,658,6.0,15
overall,MIXED,16.16,ALL,4645,シャドウフレイム,302,157,145,0.5198675496688742,302,0.09069069069069069,3330,2.5596026490066226,15
overall,MIXED,16.16,BOTTOM,3363,ファーサイト オルタレーション,301,153,148,0.5083056478405316,301,0.4519519519519519,666,6.0,15
overall,MIXED,15.19,ALL,2055,コントロール ワード,301,141,160,0.4684385382059801,301,0.2617391304347826,1150,2.179401993355482,15
overall,MIXED,16.14,ALL,2055,コントロール ワード,300,145,155,0.48333333333333334,300,0.08620689655172414,3480,2.1333333333333333,15
overall,MIXED,16.14,ALL,1055,ドラン ブレード,299,154,145,0.5150501672240803,299,0.08591954022988506,3480,0.725752508361204,15
overall,MIXED,15.17,ALL,3364,オラクル レンズ,298,142,156,0.47651006711409394,298,0.36790123456790125,810,6.0,15
overall,MIXED,16.12,ALL,3364,オラクル レンズ,297,154,143,0.5185185185185185,297,0.33370786516853934,890,6.0,15
overall,MIXED,16.17,ALL,3078,トリニティ フォース,296,153,143,0.5168918918918919,296,0.05873015873015873,5040,1.5675675675675675,15
overall,MIXED,16.4,ALL,3340,ステルス ワード,296,146,150,0.49324324324324326,296,0.5584905660377358,530,6.0,15
overall,MIXED,15.18,ALL,3340,ステルス ワード,294,144,150,0.4897959183673469,294,0.4523076923076923,650,6.0,15
overall,MIXED,16.14,ALL,1086,ドラン ボウ,294,130,164,0.4421768707482993,294,0.08448275862068966,3480,0.7380952380952381,15
overall,MIXED,15.10,ALL,3364,オラクル レンズ,293,150,143,0.5119453924914675,293,0.4246376811594203,690,6.0,15
overall,MIXED,15.20,ALL,3340,ステルス ワード,293,148,145,0.5051194539249146,293,0.44393939393939397,660,6.0,15
overall,MIXED,16.17,ALL,3116,リーライ クリスタル セプター,291,161,130,0.5532646048109966,291,0.05773809523809524,5040,2.2714776632302405,15
overall,MIXED,16.13,ALL,1086,ドラン ボウ,291,129,162,0.44329896907216493,291,0.08844984802431612,3290,0.7594501718213058,15
overall,MIXED,16.13,ALL,3111,マーキュリー ブーツ,290,155,135,0.5344827586206896,290,0.08814589665653495,3290,2.3482758620689657,15
overall,MIXED,16.16,ALL,3111,マーキュリー ブーツ,289,148,141,0.5121107266435986,289,0.0867867867867868,3330,2.366782006920415,15
overall,MIXED,15.10,ALL,3340,ステルス ワード,286,136,150,0.4755244755244755,286,0.4144927536231884,690,6.0,15
overall,MIXED,15.22,ALL,3340,ステルス ワード,286,135,151,0.47202797202797203,286,0.43333333333333335,660,6.0,15
overall,MIXED,16.13,ALL,1055,ドラン ブレード,285,142,143,0.4982456140350877,285,0.08662613981762918,3290,0.6912280701754386,15
overall,MIXED,16.18,TOP,3340,ステルス ワード,284,140,144,0.49295774647887325,284,0.8452380952380952,336,6.0,15
overall,MIXED,16.14,BOTTOM,3363,ファーサイト オルタレーション,283,150,133,0.5300353356890459,283,0.40660919540229884,696,6.0,15
overall,MIXED,16.15,ALL,6676,コレクター,282,134,148,0.475177304964539,282,0.06828087167070218,4130,1.6914893617021276,15
overall,MIXED,16.14,JUNGLE,3340,ステルス ワード,282,132,150,0.46808510638297873,282,0.4051724137931034,696,6.0,15
overall,MIXED,15.24,ALL,1055,ドラン ブレード,281,148,133,0.5266903914590747,281,0.16432748538011696,1710,0.7117437722419929,15
overall,MIXED,16.17,ALL,1029,クロース アーマー,281,122,159,0.43416370106761565,281,0.05575396825396826,5040,3.6868327402135233,15
overall,MIXED,16.18,ALL,2031,詰め替えポーション,280,125,155,0.44642857142857145,280,0.16666666666666666,1680,1.3392857142857142,15
overall,MIXED,16.15,MIDDLE,1056,ドラン リング,279,134,145,0.48028673835125446,279,0.33777239709443097,826,0.8673835125448028,15
overall,MIXED,16.15,ALL,3153,ルインドキング ブレード,278,148,130,0.5323741007194245,278,0.06731234866828087,4130,1.9460431654676258,15
overall,MIXED,16.17,ALL,3869,セレスティアル オポジション,278,145,133,0.5215827338129496,278,0.05515873015873016,5040,0.2841726618705036,15
overall,MIXED,16.17,UTILITY,3869,セレスティアル オポジション,278,145,133,0.5215827338129496,278,0.2757936507936508,1008,0.2841726618705036,15
overall,MIXED,16.17,MIDDLE,4645,シャドウフレイム,277,148,129,0.5342960288808665,277,0.2748015873015873,1008,2.577617328519856,15
overall,MIXED,16.17,ALL,3153,ルインドキング ブレード,277,148,129,0.5342960288808665,277,0.05496031746031746,5040,1.8303249097472925,15
overall,MIXED,16.7,ALL,3364,オラクル レンズ,277,139,138,0.5018050541516246,277,0.35974025974025975,770,6.0,15
overall,MIXED,16.1,ALL,3364,オラクル レンズ,277,127,150,0.4584837545126354,277,0.35974025974025975,770,6.0,15
overall,MIXED,16.15,ALL,1052,増魔の書,276,134,142,0.4855072463768116,276,0.06682808716707021,4130,3.713768115942029,15
overall,MIXED,16.13,ALL,6655,ルーデン エコー,275,138,137,0.5018181818181818,275,0.08358662613981763,3290,2.076363636363636,15
overall,MIXED,15.24,TOP,3340,ステルス ワード,275,132,143,0.48,275,0.804093567251462,342,6.0,15
overall,MIXED,16.16,TOP,3047,プレート スチールキャップ,274,147,127,0.5364963503649635,274,0.4114114114114114,666,2.627737226277372,15
overall,MIXED,15.24,ALL,3363,ファーサイト オルタレーション,274,142,132,0.5182481751824818,274,0.16023391812865498,1710,6.0,15
overall,MIXED,15.22,ALL,3364,オラクル レンズ,274,141,133,0.5145985401459854,274,0.41515151515151516,660,6.0,15
overall,MIXED,16.13,ALL,3009,スイフトネス ブーツ,274,139,135,0.5072992700729927,274,0.08328267477203648,3290,2.521897810218978,15
overall,MIXED,16.16,ALL,3158,アイオニア ブーツ,274,138,136,0.5036496350364964,274,0.08228228228228228,3330,2.397810218978102,15
overall,MIXED,16.16,BOTTOM,3031,インフィニティ エッジ,271,148,123,0.5461254612546126,271,0.4069069069069069,666,2.2693726937269374,15
overall,MIXED,16.9,ALL,3364,オラクル レンズ,271,139,132,0.5129151291512916,271,0.3430379746835443,790,6.0,15
overall,MIXED,16.15,ALL,3158,アイオニア ブーツ,271,134,137,0.4944649446494465,271,0.06561743341404358,4130,2.243542435424354,15
overall,MIXED,16.14,TOP,3047,プレート スチールキャップ,269,129,140,0.4795539033457249,269,0.3864942528735632,696,2.550185873605948,15
overall,MIXED,16.16,BOTTOM,1086,ドラン ボウ,268,129,139,0.48134328358208955,268,0.4024024024024024,666,0.75,15
overall,MIXED,16.13,ALL,2055,コントロール ワード,266,131,135,0.4924812030075188,266,0.08085106382978724,3290,2.2218045112781954,15
overall,MIXED,16.15,ALL,6672,クラーケン スレイヤー,266,130,136,0.48872180451127817,266,0.06440677966101695,4130,1.736842105263158,15
overall,MIXED,15.24,ALL,3047,プレート スチールキャップ,266,116,150,0.43609022556390975,266,0.15555555555555556,1710,2.530075187969925,15
overall,MIXED,16.14,ALL,3009,スイフトネス ブーツ,265,140,125,0.5283018867924528,265,0.07614942528735633,3480,2.4754716981132074,15
overall,MIXED,16.6,ALL,3364,オラクル レンズ,265,133,132,0.5018867924528302,265,0.34868421052631576,760,6.0,15
overall,MIXED,16.15,ALL,2503,黒炎のトーチ,264,141,123,0.5340909090909091,264,0.06392251815980629,4130,2.0984848484848486,15
overall,MIXED,16.17,ALL,3871,ザズ＝ザクのレルムスパイク,263,139,124,0.5285171102661597,263,0.052182539682539685,5040,0.3193916349809886,15
overall,MIXED,16.17,UTILITY,3871,ザズ＝ザクのレルムスパイク,263,139,124,0.5285171102661597,263,0.26091269841269843,1008,0.3193916349809886,15
overall,MIXED,16.13,ALL,3020,ソーサラー シューズ,263,133,130,0.5057034220532319,263,0.07993920972644376,3290,2.4106463878326996,15
overall,MIXED,16.17,ALL,1028,ルビー クリスタル,263,130,133,0.49429657794676807,263,0.052182539682539685,5040,3.9771863117870723,15
overall,MIXED,15.16,ALL,3340,ステルス ワード,263,121,142,0.4600760456273764,263,0.48703703703703705,540,6.0,15
overall,MIXED,16.15,BOTTOM,1086,ドラン ボウ,263,119,144,0.4524714828897338,263,0.31840193704600483,826,0.6615969581749049,15
